Tipo;X;Y;Z
M;27.5391;-33.6670;9.3628
A;0.0090;0.0031;0.9670
G;0.9155;0.3052;2.2583
M;27.0020;-33.6060;10.6079
A;0.0110;0.0027;0.9688
G;1.0376;0.1831;2.3804
M;27.5879;-33.6060;9.9121
A;0.0100;0.0063;0.9594
G;1.1597;0.1831;2.3804
M;27.4414;-34.0332;9.6069
A;0.0101;0.0023;0.9656
G;0.9766;0.2441;2.3804
M;27.1973;-34.4604;10.2295
A;0.0103;0.0038;0.9677
G;1.0986;0.2441;2.2583
M;27.0020;-33.4961;10.8276
A;0.0101;0.0031;0.9664
G;1.1597;0.2441;2.3804
M;27.3193;-34.0698;10.2783
A;0.0111;0.0023;0.9667
G;1.0986;0.3052;2.3193
M;27.2095;-33.5938;9.9609
A;0.0105;0.0037;0.9666
G;1.2207;0.1831;2.3193
M;27.4170;-33.6670;10.1562
A;0.0099;0.0027;0.9675
G;1.0376;0.2441;2.3804
M;26.9409;-33.6060;10.9375
A;0.0099;0.0021;0.9675
G;1.0376;0.1221;2.3193
M;27.3071;-33.7646;10.0952
A;0.0104;0.0022;0.9675
G;1.0986;0.3052;2.3193
M;27.3438;-34.3262;9.9121
A;0.0087;0.0024;0.9674
G;1.0376;0.2441;2.3804
M;27.5757;-33.8257;10.4492
A;0.0089;0.0026;0.9669
G;1.0376;0.3662;2.3193
M;27.7222;-34.4238;10.3394
A;0.0109;0.0027;0.9681
G;0.9766;0.3052;2.3804
M;27.6001;-33.6914;10.2417
A;0.0109;0.0023;0.9690
G;1.1597;0.0610;2.3193
M;27.1484;-33.4229;12.2437
A;0.0094;0.0035;0.9663
G;0.9766;0.1221;2.5024
M;27.5757;-34.2407;9.8022
A;0.0089;0.0028;0.9675
G;1.2207;0.0610;2.4414
M;27.4170;-33.8501;9.4727
A;0.0094;0.0029;0.9672
G;1.1597;0.3662;2.1973
M;27.6611;-34.1919;10.1196
A;0.0105;0.0023;0.9677
G;1.1597;0.1221;2.3193
M;27.6611;-33.9966;10.9985
A;0.0096;0.0028;0.9684
G;0.9766;0.2441;2.1973
M;27.6367;-34.0942;9.2896
A;0.0099;0.0026;0.9688
G;1.1597;0.2441;2.3804
M;27.6489;-34.3262;10.4736
A;0.0099;0.0029;0.9674
G;1.0986;0.1831;2.3193
M;27.6978;-34.1553;10.4980
A;0.0099;0.0021;0.9679
G;1.3428;0.2441;2.3804
M;27.8931;-34.0332;10.3149
A;0.0096;0.0017;0.9689
G;0.9766;0.4272;2.1362
M;27.7710;-33.9600;8.9600
A;0.0088;0.0024;0.9691
G;1.1597;0.1221;2.3804
M;27.6489;-33.7036;10.1074
A;0.0099;0.0021;0.9677
G;1.2817;0.3052;2.3193
M;27.8931;-33.9966;11.1572
A;0.0122;0.0018;0.9624
G;1.0986;0.2441;2.2583
M;27.8442;-33.8135;10.7910
A;0.0085;0.0017;0.9697
G;1.0986;0.2441;2.3193
M;27.8687;-33.5938;10.7300
A;0.0112;0.0033;0.9681
G;1.0376;0.1221;2.3193
M;27.6245;-33.4351;10.9741
A;0.0085;0.0024;0.9681
G;1.0986;0.3052;2.1973
M;27.6855;-33.6792;10.4248
A;0.0103;0.0012;0.9685
G;1.1597;0.2441;2.1973
M;27.8564;-33.6060;11.5967
A;0.0088;0.0018;0.9691
G;1.0986;0.2441;2.2583
M;27.6367;-34.0454;9.8755
A;0.0120;0.0017;0.9634
G;0.9155;0.2441;2.3804
M;27.7344;-33.6304;11.5723
